CatCode,nCategory,nSubCategory
733,Artificial Plants,Evergreen
734,Artificial Plants,Fern
735,Artificial Plants,Fiddle
737,Artificial Plants,Fittonia
738,Artificial Plants,Flex
739,Artificial Plants,Grape
740,Artificial Plants,Grasses
741,Artificial Plants,Hedge
742,Artificial Plants,Herbs
743,Artificial Plants,Hosta
744,Artificial Plants,Hoya
745,Artificial Plants,Ivy
746,Artificial Plants,Lemon Greenery
747,Artificial Plants,Jade
748,Artificial Plants,Kalanchoe
749,Artificial Plants,Laurel Leaf
750,Artificial Plants,Lavender
751,Artificial Plants,Lilies
752,Artificial Plants,Locust
753,Artificial Plants,Mint
754,Artificial Plants,Monsteras
755,Artificial Plants,Mosses
756,Artificial Plants,Palm
757,Artificial Plants,Peperomia
758,Artificial Plants,Philodendron
759,Artificial Plants,Piliostigma
760,Artificial Plants,Philo
761,Artificial Plants,Pothos
762,Artificial Plants,Rhipsalis
763,Artificial Plants,Ruscuses
764,Artificial Plants,Sansevieria
765,Artificial Plants,Santolina
766,Artificial Plants,Sawtooth Greenery
767,Artificial Plants,Saxifraga
768,Artificial Plants,Scindapsus
769,Artificial Plants,Sedum
770,Artificial Plants,Senecio
771,Artificial Plants,Silver Greenery
772,Artificial Plants,Spathiphyllum
773,Artificial Plants,Spider
774,Artificial Plants,Stephanotis Greenery
775,Artificial Plants,String of Angel Tears
776,Artificial Plants,String of Pearls
777,Artificial Plants,Succulent
778,Artificial Plants,Syngonium
779,Artificial Plants,Teas
780,Artificial Plants,Trailing
781,Artificial Plants,Tillandsia
782,Artificial Plants,Vertical Garden
783,Artificial Plants,Wandering Jew
784,Artificial Plants,Wattle
785,Artificial Plants,Wax Greenery
786,Artificial Plants,Willow
787,Artificial Plants,Yucca
788,Artificial Plants,Zebra
789,Artificial Plants,Geranium
790,Artificial Plants,Tropical
791,Artificial Plants,Garland
793,Artificial Plants,Morning Glory
700,Artificial Plants,Other Greenery
707,Artificial Planter Plants,Grass Pot
711,Artificial Planter Plants,Hanging Pot
712,Artificial Planter Plants,Flower Pot
721,Artificial Planter Plants,Other Pot
736,Artificial Planter Plants,Fern Pot
801,Artificial Planter Plants,Agave Plant
802,Artificial Planter Plants,Aglaonema Plant
803,Artificial Planter Plants,Alocasia Plant
804,Artificial Planter Plants,Anthurium Plant
805,Artificial Planter Plants,Begonia Plant
806,Artificial Planter Plants,Birds Nest Plant
807,Artificial Planter Plants,Boxwood Plant
808,Artificial Planter Plants,Cactus Saguaro Plant
809,Artificial Planter Plants,Caladium Plant
810,Artificial Planter Plants,Calathea Plant
811,Artificial Planter Plants,Cordyline Plant
812,Artificial Planter Plants,Croton Plant
813,Artificial Planter Plants,Ctenanthe Plant
814,Artificial Planter Plants,Cycas Plant
815,Artificial Planter Plants,Cymbidium Plant
816,Artificial Planter Plants,Dieffenbachia Plant
817,Artificial Planter Plants,Dracaena Plant
818,Artificial Planter Plants,Eucalyptus Plant
819,Artificial Planter Plants,Evergreen Plant
820,Artificial Planter Plants,Fern Plant
821,Artificial Planter Plants,Fittonia Plant
822,Artificial Planter Plants,Grass Plant
823,Artificial Planter Plants,Hosta Plant
824,Artificial Planter Plants,Jade Plant
825,Artificial Planter Plants,Kangaroo Paw Plant
826,Artificial Planter Plants,Monstera Plant
828,Artificial Planter Plants,Peperomia Plant
829,Artificial Planter Plants,Peperomoides Plant
830,Artificial Planter Plants,Philodendron Plant
831,Artificial Planter Plants,Philowild Plant
832,Artificial Planter Plants,Pothos Plant
833,Artificial Planter Plants,Ruscus Plant
834,Artificial Planter Plants,Spathiphyllum Plant
835,Artificial Planter Plants,Spider Plant
836,Artificial Planter Plants,String of Pearls Plant
837,Artificial Planter Plants,Succulent Plant
838,Artificial Planter Plants,Swiss Cheese Plant
839,Artificial Planter Plants,Syngonium Plant
840,Artificial Planter Plants,Wandering Jew Plant
841,Artificial Planter Plants,Waratah Plant
842,Artificial Planter Plants,Yucca Plant
843,Artificial Planter Plants,Zanzibar Plant
844,Artificial Planter Plants,Zebra Plant
845,Artificial Planter Plants,Happy Plant
846,Artificial Planter Plants,Hedge Plant
800,Artificial Planter Plants,Other Plants
001,Peripheral,Bowl
002,Peripheral,Candle
003,Peripheral,Pot
004,Peripheral,Vase
005,Peripheral,Fruit
006,Peripheral,Vegetable
007,Peripheral,Table
008,Peripheral,Stand
009,Peripheral,Basket
901,Artificial Trees,Acacia Tree
902,Artificial Trees,Palm Areca
903,Artificial Trees,Bamboo
904,Artificial Trees,Bird of Paradise
905,Artificial Trees,Blossom Tree
906,Artificial Trees,Bougainvillea Tree
907,Artificial Trees,Cabada Tree
908,Artificial Trees,Camellia Tree
909,Artificial Trees,Palm Cane
910,Artificial Trees,Cedar Tree
911,Artificial Trees,Clusia Tree
912,Artificial Trees,Cudrania Tree
913,Artificial Trees,Dragon Tree
914,Artificial Trees,Eucalyptus Tree
915,Artificial Trees,Ficus Tree
916,Artificial Trees,Fiddle Tree
917,Artificial Trees,Ginkgo Tree
918,Artificial Trees,Gum Tree
919,Artificial Trees,Palm Kentia
920,Artificial Trees,Lemon Tree
921,Artificial Trees,Longifolia Tree
922,Artificial Trees,Nandina Tree
923,Artificial Trees,Olive Tree
924,Artificial Trees,Pieris Tree
925,Artificial Trees,Palm Fan
926,Artificial Trees,Palm Raphis
927,Artificial Trees,Rubber Tree
928,Artificial Trees,Sliver Birch Tree
929,Artificial Trees,Sky Bird
930,Artificial Trees,Palm Travellers
931,Artificial Trees,Wisteria Tree
932,Artificial Trees,Palm Phoenix
933,Artificial Trees,Boxwood Tree
934,Artificial Trees,Topiary Tree
935,Artificial Trees,Palm Parlour
936,Artificial Trees,Pothos Tree
937,Artificial Trees,Palm Cycad
938,Artificial Trees,Lavender Tree
939,Artificial Trees,Ruscus Tree
900,Artificial Trees,Other Trees
201,Hanging Basket,Flower Basket
202,Hanging Basket,Greenery Basket
203,Hanging Basket,Mixed Basket
221,Indoor Landscape,Ground Landscape
222,Indoor Landscape,Aerial Landscape
223,Indoor Landscape,Mini Landscape
224,Indoor Landscape,Waterscape
225,Indoor Landscape,Living Landscape
