Code,SU,SKU,Barcode,Description,NetCost,DiscRate,FinalCost,RefPrice,ListPrice,RegularPrice,SalePrice,HL,Location,Color,Cluster,AttColor,Qty,Stock,Sold,SiteStock,StockStatus,CatCode,AppliedModel,ModelCode,Category,SubCat,PostID,PostTitle,PostSlug,PostContent,PostShortDesc,PostStatus,ProductCat,ProductTag,ProductStyle,FocusKW,MetaTitle,MetaDesc,LinkDex,ReadingTime,ContentScore,ProductPage,Images,Image,Comment,Judge,nCategory,nSubCategory,Index,Price,Name,PNDesc,PNLen,Per,PC
30.823.12,AB,A70630823,9331460291246,Angel Hanging Bush 84cm Gn,$5.25,0%,$5.25,$13.13,$14.95,$14.95,,84,F12,Green,Green,Green,72,35,37,,instock,706,30823,30823,Greenery,Angel,10986,Faux Angel Hanging Bush Imitation Plants 84cm,faux-angel-hanging-bush-imitation-plants-84cm,"Step into a world of easy, beautiful, maintenance-free home décor with our Faux Angel Hanging Bush Imitation Plants. Standing tall at 84cm, our green artificial plants are the perfect blend of innovative design, flexibility, and premium quality guaranteed. 
   These fake plants require zero maintenance, freeing you from the hassles of watering, pruning, or worrying about adequate sunlight! You can place them anywhere, from your living room to the office or even outdoors offering flexible decoration options. They bring a touch of nature's charm without the upkeep or the wilt.
   Our Faux Angel Hanging Bush isn't just another fake plant; it’s a versatile creative element. Its unique design opens up endless DIY decoration possibilities. Let your creativity run wild and transform your space into a vibrant oasis. 
   For those after a hassle-free, yet beautiful interior decor, our Faux Angel Hanging Bush is the perfect choice. It effortlessly blends with any interior style, enhancing the aesthetic appeal of your space. With an innovative design, this faux angel shrub provides an impression of a real plant, minus the maintenance. 
Key Features:
   - Maintenance-Free: Zero watering, pruning, or sunlight needed.
   - Flexible Decoration Options: Easily blends with any interior style.
   - Creative DIY opportunities: Unleash your decorating creativity.
   - Premium Quality: Guarantees longevity and realistic appeal.
The Faux Angel Hanging Bush is designed in a unique fashion keeping your home decor needs in mind. Our priority is to provide you with an easy, stress-free decoration option. So, pep up your space with our maintenance-free faux angel shrub today!
Above all, these fake plants are made to last, effortlessly adding splashes of green to your spaces, no matter the season. All in all, our Faux Angel Hanging Bush makes a practical and sophisticated addition to any home or workspace.","SKU: A70630823, Color: Green, Size: 84cm",publish,Artificial Plants > Angel|Artificial Plants,,,Faux Angel Hanging,Faux Angel - The Best Fake Plants Imitation Decoration,"Offering flexibility in decoration and creative DIY options, our Faux Angel Hanging Bush, a 84cm artificial plant, guarantees premium quality and a refreshing green color. Maintenance-free and innovative design included.",,1,90,https://lifelikeplants.au/product/faux-angel-hanging-bush-imitation-plants-84cm/,https://lifelikeplants.au/wp-content/uploads/2023/09/A70630823.webp ! alt : Green Faux Angel Hanging Main Image ! title : A70630823 ! desc :  ! caption : ,https://lifelikeplants.au/wp-content/uploads/2023/09/A70630823.webp ,2025-11-19,>,Artificial Plants,Angel,6,14.95,A70630823 Angel Green 84cm,Angel Hanging Bush,18,1,
30.863.12,AB,A70630863,9331460296995,Angel Hanging Bush 20*85cm Gn,$8.43,30%,$5.90,$14.75,$14.95,$14.95,,85,D13,Green,Green,Green,108,61,47,,instock,706,30863,30863,Greenery,Angel,10987,Faux Angel Hanging Bush Imitation Plants 85cm,faux-angel-hanging-bush-imitation-plants-85cm,"Upgrade your home aesthetics with our Faux Angel Hanging Bush Imitation Plants. Standing tall at 85cm, these fake plants exhibit an energy-efficient touch of greenery to any space. Allergy sufferers rejoice - these creations are designed to be allergy-friendly, providing you the beauty of nature without the sneezes. Wrapped in a sleek aesthetic to complement your modern lifestyle, you can enjoy the perks of having plants with no watering, repotting, or sunlight required. 
    Features of our Faux Angel Plants:
    - Allergy-Friendly: Ideal for those with allergies, as they don't produce pollen.
    - Safe and Clean: No need for pesticides or fertilizers.
    - Modern Lifestyle Aesthetics: A sure-fire way to uplift any space with their simplistic elegance.
    - Customizable to Your Needs: Place them anywhere, with no need for specific light or temperature conditions.
    - Eco-Friendly and Energy Efficient: They require no water or sunlight, conserving resources.
    Offering a sustainable alternative to live plants, our Faux Angels are committed to proving nature's beauty can be enjoyed responsibly.
Be charmed by our Faux Angel Hanging Bush Imitation Plants, an embodiment of green beauty, and smile knowing you're making the eco-friendly choice.
Order your Faux Angel today, and uplift your wellbeing and indoor aesthetics with ease.
Not only are these fake plants great for your home, but they make thoughtful, long-lasting gifts too! Let these Faux Angels be the symbol of your sustainable and modern lifestyle choice.","SKU: A70630863, Color: Green, Size: 20*85cm",publish,Artificial Plants > Angel|Artificial Plants,,,Faux Angel Hanging,Faux Angel - 85cm Imitation Plants for your Modern Lifestyle,Experience the bliss of greenery without the fuss with our Allergy-Friendly and Safe Faux Angel - the artificial plant best for modern living. Customizable and Eco-Friendly!,,1,90,https://lifelikeplants.au/product/faux-angel-hanging-bush-imitation-plants-85cm/,https://lifelikeplants.au/wp-content/uploads/2023/09/A70630863.webp ! alt : Green Faux Angel Hanging Main Image ! title : A70630863 ! desc :  ! caption : ,https://lifelikeplants.au/wp-content/uploads/2023/09/A70630863.webp ,2025-11-19,>,Artificial Plants,Angel,4,14.95,A70630863 Angel Green 85cm,Angel Hanging Bush,18,1,
32.235.00,AB,A90932235,9331460171285,Cane Palm 152cm Gn,$108.50,30%,$75.95,$189.88,$185.00,,,152,,Green,Green,,2,0,2,,,909,,32235,Trees,Cane,,,,,,,,,,,,,,,,,,,21APR,,Artificial Trees,Cane,0,185.00,A90932235 Cane Green 152cm,Cane Palm,9,1,
32.385.00,AB,A82632385,9331460229511,Monstera Plant 91cm Gn,$70.95,30%,$49.67,$124.16,$135.00,,,91,U22,Green,Green,,21,5,16,,,826,,32385,Plants,Monstera,,,,,,,,,,,,,,,,,,,2025-10-18,,Artificial Planter Plants,Monstera Plant,2,135.00,A82632385 Monstera Green 91cm,Monstera Plant,14,1,
32.388.00,AB,A90432388,9331460229542,Giant Bird of Paradise 152cm Gn,$108.50,30%,$75.95,$189.88,$185.00,$185.00,,152,U22,Green,Green,Green,7,0,7,,instock,904,,32388,Trees,BirdofParadise,10988,Faux Bird of Paradise Room Decor 152cm,faux-bird-of-paradise-room-decor-152cm,"Immerse yourself in the beauty of nature inside your humble abode with our Faux Bird of Paradise. This artificial indoor house plant stands at the height of 152cm, an impressive feature that will surely grab your guests' attention. Reminiscent of the charm of country home decor, it thoroughly enhances the vibe of any space it occupies. 
    Crafted with meticulous detail, you would hardly differentiate it from the real thing. Its green color looks fresh, bright, and highly realistic. Inherently maintenance-free and an ideal replacement for natural houseplants, it guarantees no wilted leaves or regular watering need.
    The advantages of this Faux Bird of Paradise go beyond aesthetics, offering exceptional value for money. Furthermore, it is hygienic keeping your living space safe and clean, being resistant to insects that normal plants attract.
    Our innovative design makes this faux plant an excellent addition to any interior - be it a modern minimalist apartment, rustic country house, or a boho-chic workspace. It is a concrete step towards guilt-free, eco-friendly decor that combines taste, convenience, and value.
    So why wait? Uplift your interior decor with our Faux Bird of Paradise now. It's high time to go green – faux style!","SKU: A90432388, Color: Green, Size: 152cm",publish,Artificial Trees|Artificial Trees > Bird of Paradise,,,Faux Bird of Paradise,Faux Bird of Paradise - Classic Artificial Indoor House Plants,Add a touch of sweetness to your country home decor with our maintenance-free and highly realistic Faux Bird of Paradise. Exquisite design meets value for money.,,1,90,https://lifelikeplants.au/product/faux-bird-of-paradise-room-decor-152cm/,https://lifelikeplants.au/wp-content/uploads/2023/09/A90432388-scaled.webp ! alt : Green Faux Bird of Paradise Main Image ! title : A90432388 ! desc :  ! caption : ,https://lifelikeplants.au/wp-content/uploads/2023/09/A90432388-scaled.webp ,2025-08-02,|,Artificial Trees,Bird of Paradise,3,185.00,A90432388 BirdofParadise Green 152cm,Bird of Paradise,16,1,
32.392.00,AB,A92932392,9331460229580,Sky Bird Plant 120cm Gn,$79.35,30%,$69.84,,$175.00,$135.00,,120,,Green,Green,Green,8,1,7,,instock,929,,32392,Trees,SkyBird,10989,Sky Bird Green 120cm,sky-bird-green-120cm,"SKU: A92932392, Color: Green, Size: 120cm, Package: 25*25*125cm","SKU: A92932392, Color: Green, Size: 120cm",draft,Artificial Trees|Artificial Trees > Sky Bird,Non-Keep,,,Shop Sky Bird Green 120cm Online | Lifelike Plants,Shop Lifelike Plants online for the Sky Bird Green 120cm. Elevate your space with this lifelike botanical beauty. Buy now!,,1,90,https://lifelikeplants.au/?post_type=product&p=10989,https://lifelikeplants.au/wp-content/uploads/2024/07/E92991094.jpg ! alt :  ! title : E92991094 ! desc :  ! caption :  | https://lifelikeplants.au/wp-content/uploads/2024/07/E92991094-2.jpg ! alt :  ! title : E92991094-2 ! desc :  ! caption :  | https://lifelikeplants.au/wp-content/uploads/2024/07/E92991094-3.jpg ! alt :  ! title : E92991094-3 ! desc :  ! caption : ,https://lifelikeplants.au/wp-content/uploads/2024/07/E92991094.jpg ,2025-04-14,|,Artificial Trees,Sky Bird,4,175.00,A92932392 SkyBird Green 120cm,Sky Bird,8,1,
32.393.00,AB,A92932393,9331460229597,Sky Bird Plant 180cm Gn,$153.00,30%,$107.10,$267.75,$265.00,,,180,,Green,Green,,12,0,12,,,929,,32393,Trees,SkyBird,,,,,,,,,,,,,,,,,,,22APR,,Artificial Trees,SkyBird,0,265.00,A92932393 SkyBird Green 180cm,Sky Bird,8,1,
32.394.00,AB,A92932394,9331460229603,Sky Bird Plant 213cm Gn,$171.60,30%,$120.12,$300.30,$315.00,,,213,,Green,Green,,6,0,6,,,929,,32394,Trees,SkyBird,,,,,,,,,,,,,,,,,,,22Nov24,,Artificial Trees,SkyBird,0,315.00,A92932394 SkyBird Green 213cm,Sky Bird,8,1,
32.426.00DX,AB,A90432426,9331460261795,Giant Bird of Paradise 244cm,$0.00,0%,$178.50,$446.25,$450.00,,,244,,Green,Green,,2,0,2,,,904,32426,32426,Trees,BirdofParadise,,,,,,,,,,,,,,,,,,,10May24,,Artificial Trees,BirdofParadise,0,450.00,A90432426 BirdofParadise Green 244cm,Bird of Paradise,16,1,
32.439.12,AB,A91632439,9331460242497,Giant Fiddle Tree 65*55*120cm Gn,$91.80,30%,$64.26,$160.65,$155.00,,,120,,Green,Green,,5,0,5,,,916,,32439,Trees,Fiddle,,,,,,,,,,,,,,,,,,,10Sep24,,Artificial Trees,Fiddle,0,155.00,A91632439 Fiddle Green 120cm,Fiddle Tree,11,1,
32.448.12,AB,A91632448,9331460244033,Giant Fiddle Tree 150cm Green,$139.10,30%,$97.37,$243.43,$235.00,$235.00,,150,,Green,Green,Green,2,0,2,,outofstock,916,,32448,Trees,Fiddle,10991,Faux Fiddle Tree Artificial Plants 150cm,faux-fiddle-tree-artificial-plants-150cm,"Embrace an innovative approach to indoor greenery with the Faux Fiddle Tree, an ideal addition to your designer home decor. This 150cm faux tree, mimicking the always popular Fiddle Tree, is perfect for those who crave the beauty of indoor plants but prefer a maintenance-free solution. Impeccably crafted to capture the essence of the real thing, this artificial planter plant is as good as it gets.
The features of this Faux Fiddle Tree encompass:
- A Highly Realistic Design: Attention to detail ensures this artificial tree looks genuine, down to each meticulous vein on its lush, vibrant green leaves.
- Maintenance-Free: Forget about watering, sunlight, or any maintenance tasks that are related to keeping a natural plant alive.
- Safety and Cleanliness: Avoid insects, soil mess, allergies, and potential harm from toxic plants – this Faux Fiddle Tree guarantees a safe and clean alternative.
- Trusted Brand: Our name is a trusted brand in the industry, ensuring high quality, durability, and customer satisfaction.
With these guarantees, it's no wonder that the Faux Fiddle Tree not only fulfills but surpasses our customer's expectations. Our goal is to deliver a safe, reliable, and aesthetically pleasing piece of greenery that enhances the beauty of any space it inhabits.","SKU: A91632448, Color: Green, Size: 150cm",publish,Artificial Trees|Artificial Trees > Fiddle Tree,,,Faux Fiddle Tree,Faux Fiddle Tree - The Perfect Artificial Planter Plants for Your Home,Make your living space more stylish and vibrant with a Faux Fiddle Tree! This highly realistic and maintenance-free artificial planter plant is sure to compliment any designer home decor.,36,2,30,https://lifelikeplants.au/product/faux-fiddle-tree-artificial-plants-150cm/,https://lifelikeplants.au/wp-content/uploads/2023/09/A91632448-scaled.webp ! alt : Green Faux Fiddle Tree Main Image ! title : A91632448 ! desc :  ! caption : ,https://lifelikeplants.au/wp-content/uploads/2023/09/A91632448-scaled.webp ,"17Jul24,DC",|,Artificial Trees,Fiddle Tree,0,235.00,A91632448 Fiddle Green 150cm,Fiddle Tree,11,1,
32.452.00DX,AB,A90932452,9331460329969,Cane Palm RT 100*80*153cm Green,$91.80,30%,$64.26,$160.65,$160.00,,,153,,Green,Green,,2,0,2,,,909,,32452,Trees,Cane,,,,,,,,,,,,,,,,,,,21APR,,Artificial Trees,Cane,0,160.00,A90932452 Cane Green 153cm,Cane Palm,9,1,
32.473.08,AB,A81132473,9331460252724,Cordyline 60*60*92cm Red,$50.10,30%,$35.07,$87.68,$80.00,$80.00,,92,,Red,Red,Red,4,0,4,,instock,811,,32473,Plants,Cordyline,10992,Cordyline Red 92cm,cordyline-red-92cm,"SKU: A81132473, Color: Red, Size: 60*60*92cm, Package: 15*15*97cm","SKU: A81132473, Color: Red, Size: 60*60*92cm",draft,Artificial Planter Plants|Artificial Planter Plants > Cordyline Plant,Non-Keep,,,Shop Cordyline Red 92cm Online | Lifelike Plants,Shop Lifelike Plants online for the Cordyline Red 92cm. Elevate your space with this lifelike botanical beauty. Buy now and transform your surroundings!,,1,90,https://lifelikeplants.au/?post_type=product&p=10992,https://lifelikeplants.au/wp-content/uploads/2023/09/A81132473-scaled.webp ! alt :  ! title : A81132473 ! desc :  ! caption : ,https://lifelikeplants.au/wp-content/uploads/2023/09/A81132473-scaled.webp ,2025-06-07,|,Artificial Planter Plants,Cordyline Plant,1,80.00,A81132473 Cordyline Red 92cm,Cordyline,9,1,
